CERT_ID,CERT_NAME,URL,ACRONYM,KEYWORD,TRAINING,EITHER,EXAM,RENEWAL,CEU,REEXAM,CPD,CERT_ANY,EXAM_DETAILS,TYPE,TYPEORDER,ORG_ID,ORG_NAME,ORG_ADDRES,ORG_PHONE1,EXT,ORG_PHONE2,ORG_FAX,ORG_EMAIL,ORG_WEBPAG,ORG ACRONYM,CERT_DESCRIPTION
14636,21st Century Skills for Workplace Success,https://www.nocti.org/wp-content/uploads/Blueprints/Emp21SWS1437.pdf,,  ,0,,1,,,1,,,,Skill,E,1945,NOCTI,"500 N Bronson Ave Big Rapids, MI 49307",231-796-4890,,,,,https://www.nocti.org/credentials/blueprints/,NOCTI,"The 21st Century Skills for Workplace Success industry-based credential is 
 included in NOCTI's Employability assessment battery. NOCTI's employability credentials measure the skills that represent critical knowledge needed for success in the workplace. The Employability assessments o?er a written component and can be used at the secondary and post-secondary levels. Employability assessments can be delivered in an online or paper/pencil format."
14541,3-Phase Sequencing and Motor Rotation,https://www.nc3.net/partner-greenlee/,,  ,0,,1,,1,,,,,Core,A,1922,Greenlee,"P.O. Box 580802 Pleasant Prairie, WI 53158",,,,,,https://www.nc3.net/partner-greenlee/,,"Indicate the phase rotation in 3-phase systems for 
power sources and motors
Identify faulty 3-phase wiring
Indicate motor rotation in disconnected motors
Learn proper use of digital clamp-on multimeter 
applications"
13512,50001 Certified Professional - 50001 CP,https://www.aeecenter.org/50001-cp/,50001,  ,1,,1,3 ,1,0,1,1,,Advanced,B,0267,Association of Energy Engineers,"3168 Mercer University Drive. Atlanta, Georgia 30341",770-447-5083,227,,770-446-3969,info@aeecenter.org,https://www.aeecenter.org/,AEE,An ineffective energy management system is a burden on an organization.  By achieving the 50001 Certified Professional Status you can demonstrate clearly that you have both the technical and management expertise how to make an EnMS deliver value for an organization.
13407,504F Multimeter Certification,https://www.nc3.net/2021/03/30/new-snap-on-504f-multimeter-certification-launched/,,  ,,,1,,,,1,,,Product/Equipment,D,1768,National Coalition of Certification Centers,"P.O. Box 580802 Pleasant Prairie, WI 53158",,,,,,https://www.nc3.net/,NC3,"The Snap-on 504F Multimeter Certification is awarded to students who have been trained in the use of Snap-on advanced electrical monitoring equipment. The knowledge and experience gained by students who complete this course are TOOLS FOR LIFE that are essential to a successful career in critical industries such as aerospace, automotive repair, transportation, wind power, manufacturing, HVAC, and robotics."
14084,5G Technician,https://etai.org/communications.html,,5G Technician ,,,1,4 ,1,,,,,Core,A,0111,ETA International,"5 Depot Street, Greencastle, IN 46135",800-288-3824,,765-653-8262,765-653-4287,eta@eta-i.org,https://www.etai.org/,ETA,"The 5G Technician standalone certification is aimed at cellular technicians and engineers with knowledge of the wireless industry. The certification serves as an introduction to 5th Generation (5G) communications technologies and gives cellular technicians the opportunity to earn a certification that has valuable industry application. 5G Technician competencies will give first-hand looks at industry standards, real world examples and case studies provided by a committee of subject matter experts with backgrounds in engineering, construction, cell carriers, broadcasting and entertainment."
13501,A Sawyer,https://www.fs.usda.gov/managing-land/trails/trail-management-tools/national-saw-program,,  ,0,,1,3 ,0,1,0,0,,Core,A,1796,Forest Service,"1400 Independence Ave., SW Washington, D.C.,  20250-0003",800-832-1355,,,,,https://www.fs.usda.gov/,USDA,"The module-based training focuses on ""Developing a Thinking Sawyer"" and emphasizes risk management, human factors, and sawyer safety. Forest Service sawyers can still attend approved training courses until the new program is finalized.

A Sawyer Certified at the A level may operate a saw in the least complex situations and must be under
the direct supervision of a B or C Sawyer. This certification applies to either chainsaw or crosscut use and
can be for bucking only for those sawyers not needing to fall trees"
13398,A/D Director,https://www.craneinstitute.com/A-D-Director-10-1476603.html,,  ,0,,1,5 ,1,1,0,1,,Advanced,B,1010,Crane Institute of America,"3880 St. Johns Parkway Sanford, FL 32771",800-832-2726,,407-322-6800,,info@craneinstitute.com,https://www.craneinstitute.com/,,"This course covers what you need to know to meet OSHA's requirements for Assembly/Disassembly Directors. The program also includes assembling and disassembling cranes near power lines, how to identify safety hazards, and fall protection requirements. A/D Director Certification is available to those who qualify."
12937,AAPPL Rater Certification,https://www.actfl.org/assessments/tester-rater-certifications/aappl-rater-certification,,  ,1,,1,4 ,0,,1,,&lt;a href=&quot;https://www.languagetesting.com/&quot; target=&quot;_blank&quot;&gt;Language Testing International&lt;/a&gt;&amp;nbsp;(LTI) is the exclusive provider of ACTFL assessments.,Advanced,B,1719,American Council on the Teaching of Foreign Languages,"1001 N. Fairfax Street, Suite 200 Alexandria, VA 22314",703-894-2900,,,,,,ACTFL,"The ACTFL Assessment of Performance toward Proficiency in Languages (AAPPL) is unlike any other assessment. AAPPL is a web-based proficiency and performance assessment of K-12 standards-based language learning. It assesses tasks across the three modes of communication as defined by the World-Readiness Standards for Learning Languages.  AAPPL Rater Certification is only awarded in the languages in which the AAPPL is offered: Arabic, Chinese, English/ESOL, French, German, Italian, Japanese, Korean, Portuguese, and Spanish."
7441,ABVM Endovascular Medicine Examination,https://www.apca.org/certifications-examinations/american-board-of-vascular-medicine/endovascular/,ABVM,Diplomate Endovascular medicine ,1,,1,10,1,1,0,0,,Specialty,C,1211,American Board of Vascular Medicine,,800-943-1709,,,,ABVM@inteleos.org,https://www.apca.org/certifications-examinations/american-board-of-vascular-medicine/,ABVM,"The American Board of Vascular Medicine (ABVM) Endovascular Medicine Examination helps set the global standard of patient care and recognizing expertise in the field of endovascular medicine.

&#8203;&#8203;&#8203;&#8203;&#8203;&#8203;&#8203;&#8203;&#8203;The ABVM Endovascular Medicine Examination tests basic endovascular knowledge and skills essential to physicians practicing endovascular medicine. The ABVM Endovascular Medicine certification is awarded by APCA. To earn your certification you must meet both the prerequisites and eligibility, apply, be approved and then pass the ABVM Endovascular Medicine Examination."
7440,ABVM Vascular Medicine Examination,https://www.apca.org/certifications-examinations/american-board-of-vascular-medicine/vascular/,ABVM,Diplomate Vascular Medicine ABVM,1,,1,10,1,1,0,0,,Specialty,C,1211,American Board of Vascular Medicine,,800-943-1709,,,,ABVM@inteleos.org,https://www.apca.org/certifications-examinations/american-board-of-vascular-medicine/,ABVM,"The ABVM Vascular Medicine Examination helps set the global standard of patient care and assessing expertise in the field of vascular medicine.

&#8203;&#8203;&#8203;&#8203;&#8203;&#8203;&#8203;&#8203;&#8203;The ABVM Vascular Medicine Examination tests basic vascular knowledge and skills essential to physicians practicing vascular medicine. The ABVM Vascular Medicine certification is awarded by APCA. To earn your certification you must meet both the prerequisites and eligibility, apply, be approved and then pass the ABVM Vascular Medicine Examination."
13350,AC/DC Systems,https://www.nc3.net/wp-content/uploads/2022/01/Festo-Certification-Program-Guide_Electricity-rev0122.pdf,,  ,0,,1,,,,,,,Core,A,1768,National Coalition of Certification Centers,"P.O. Box 580802 Pleasant Prairie, WI 53158",,,,,,https://www.nc3.net/,NC3,"Decrease production downtime, improve efficiency and increase output - All hinges on understand electricity
and how to work with it safely. These courses have been specifically developed to give students the knowledge and
skills required to enable them to work safely and effectively with electricity. The lab components of the training offer
the student the opportunity to build, test and troubleshoot AC/DC circuits and examine the operating voltages and
currents related to proper circuit operation. Technicians will use various instruments to make circuit measurements
and calculations."
11847,ACDIS CDI Apprenticeship,https://acdis.org/acdis-cdi-apprenticeship,ACDIS,  ,1,,1,2 ,1,0,0,0,"&lt;a title=&quot;AMP&quot; href=&quot;http://www.goamp.com/services/healthcare-certification/http://www.goamp.com/services/healthcare-certification/http://www.goamp.com/services/healthcare-certification/&quot; target=&quot;_blank&quot;&gt;AMP&lt;/a&gt;&amp;nbsp;provides certification program support for clients across a wide variety of healthcare industries, including nursing specialties, allied health, clinical, and veterinary.",Core,A,1582,Association of Clinical Documentation Improvement Specialists,"35 Village Street Middleton, M 01949",800-650-6787,,,,,https://acdis.org/,ACDIS,The ACDIS CDI Apprenticeship is a certificate program comprised of foundational CDI education paired with a review of core compliance and ethical principles. Candidates who pass the final exam receive a certificate of CDI foundational training and are allowed to designate themselves as an ACDIS-Approved CDI Apprentice.
0787,ACE Certified Personal Trainer,https://www.acefitness.org/fitness-certifications/personal-trainer-certification/default.aspx,ACE-CPT,"certified personal trainer, exercise, fitness, ACE certified PT,",0,,1,2 ,1,,,0,,Core,A,0139,American Council on Exercise,"5820 Oberlin Drive, Suite 102, San Diego, CA 92121-3787",8008253636,,8883483299,,programs@acefitness.org,https://www.acefitness.org,ACE,"The ACE Personal Trainer Study Program gives you the relevant skills to design and apply unique exercise programs based on your clients' goals, abilities and needs.

The program blends evidence-based exercise science with the ACE Mover Method, our signature behavior change philosophy, which will set you apart as a compassionate personal trainer who empowers clients to take the lead in their own journey."
0786,ACE Group Fitness Instructor,https://www.acefitness.org/fitness-certifications/group-fitness-certification/default.aspx,ACE-GFI,"Group fitness, exercise leader, ACE certified GFI,",0,,1,2 ,1,,,0,,Core,A,0139,American Council on Exercise,"5820 Oberlin Drive, Suite 102, San Diego, CA 92121-3787",8008253636,,8883483299,,programs@acefitness.org,https://www.acefitness.org,ACE,"The ACE Group Fitness Instructor certification is for individuals wanting to become fitness professionals teaching any form of exercise in a group setting. Passing the ACE Group Fitness Instructor certification exam means that you have demonstrated your knowledge of anatomy, kinesiology, exercise physiology, instructional techniques and injury prevention."
